Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.2410940E-11,6.2144451E-15,1.2417155E-11
1.0500000E-06,1.2146044E-11,5.6561431E-15,1.2151700E-11
1.1100000E-06,1.1749828E-11,5.5618063E-15,1.1755390E-11
1.1800000E-06,1.1268868E-11,5.4521385E-15,1.1274321E-11
1.2500000E-06,1.0750711E-11,5.3936485E-15,1.0756105E-11
1.3300000E-06,1.0085542E-11,5.2958462E-15,1.0090838E-11
1.4300000E-06,9.2081128E-12,5.6952409E-15,9.2138081E-12
1.5400000E-06,8.2472086E-12,5.9646585E-15,8.2531732E-12
1.6700000E-06,7.1612134E-12,6.5391973E-15,7.1677526E-12
1.8200000E-06,6.0708250E-12,7.1729384E-15,6.0779979E-12
2.0000000E-06,4.9778483E-12,8.1719967E-15,4.9860203E-12
2.1100000E-06,4.4115197E-12,8.8427839E-15,4.4203625E-12
2.2200000E-06,3.9198080E-12,9.5747727E-15,3.9293828E-12
2.3500000E-06,3.4255862E-12,1.0469622E-14,3.4360558E-12
2.5000000E-06,2.9490502E-12,1.1660493E-14,2.9607107E-12
2.6700000E-06,2.4998978E-12,1.3055767E-14,2.5129536E-12
2.8600001E-06,2.0870205E-12,1.4748338E-14,2.1017688E-12
3.0800000E-06,1.7055112E-12,1.7023876E-14,1.7225351E-12
3.3300001E-06,1.3720075E-12,1.9775874E-14,1.3917834E-12
3.6400000E-06,1.0665062E-12,2.3614273E-14,1.0901205E-12
4.0000001E-06,8.1248376E-13,2.9012602E-14,8.4149636E-13
4.4400001E-06,5.9401546E-13,3.6958996E-14,6.3097446E-13
4.9999998E-06,4.0433952E-13,5.0224239E-14,4.5456376E-13
5.7100001E-06,2.4881240E-13,7.4150545E-14,3.2296294E-13
6.6700000E-06,1.2532851E-13,1.3042847E-13,2.5575698E-13
8.0000000E-06,4.0752256E-14,3.4635378E-13,3.8710604E-13
9.4849999E-06,6.0860139E-14,1.6052104E-12,1.6660705E-12
1.0000000E-05,1.0060714E-13,1.7823190E-12,1.8829261E-12
1.0420000E-05,1.0227328E-13,1.4913530E-12,1.5936263E-12
1.1100000E-05,7.8371254E-14,9.5729353E-13,1.0356648E-12
1.2500000E-05,3.7183401E-14,3.2632351E-13,3.6350691E-13
1.2990000E-05,2.5837181E-14,2.9626871E-13,3.2210590E-13
1.4300000E-05,1.3717387E-14,3.6459497E-13,3.7831236E-13
1.6700000E-05,1.0363656E-14,8.1976856E-13,8.3013221E-13
2.0000000E-05,9.0657306E-15,6.9402550E-13,7.0309123E-13
2.2200000E-05,7.0617057E-15,6.4315216E-13,6.5021387E-13
2.5000000E-05,5.1966942E-15,5.0293552E-13,5.0813221E-13
