Wavelength,CosAv,RaPr
1.0000000E-06,6.8683229E-01,9.1547994E-12
1.0500000E-06,6.7818430E-01,9.3440904E-12
1.1100000E-06,6.7768522E-01,9.3098722E-12
1.1800000E-06,6.9342507E-01,8.9419271E-12
1.2500000E-06,7.1937610E-01,8.3011346E-12
1.3300000E-06,7.5020229E-01,7.4789353E-12
1.4300000E-06,7.7814510E-01,6.5894340E-12
1.5400000E-06,7.8638766E-01,6.1089582E-12
1.6700000E-06,7.8151197E-01,5.8386693E-12
1.8200000E-06,7.8288883E-01,5.3859141E-12
2.0000000E-06,7.9597220E-01,4.5635832E-12
2.1100000E-06,8.0069007E-01,4.1282924E-12
2.2200000E-06,8.0511382E-01,3.7262354E-12
2.3500000E-06,8.0808961E-01,3.3215672E-12
2.5000000E-06,8.0626938E-01,2.9793941E-12
2.6700000E-06,7.9945294E-01,2.7056188E-12
2.8600001E-06,7.9035809E-01,2.4543373E-12
3.0800000E-06,7.8074154E-01,2.1839143E-12
3.3300001E-06,7.6921694E-01,1.9213291E-12
3.6400000E-06,7.5294144E-01,1.6638658E-12
4.0000001E-06,7.3324390E-01,1.4231355E-12
4.4400001E-06,7.0521720E-01,1.2065284E-12
4.9999998E-06,6.5881523E-01,1.0366449E-12
5.7100001E-06,5.8794779E-01,9.2190781E-13
6.6700000E-06,4.8854577E-01,8.9792585E-13
8.0000000E-06,3.7402117E-01,1.3768744E-12
9.4849999E-06,2.9524742E-01,5.4453904E-12
1.0000000E-05,2.6925232E-01,6.3451962E-12
1.0420000E-05,2.4494658E-01,5.6234603E-12
1.1100000E-05,2.1160395E-01,3.8802287E-12
1.2500000E-05,1.6489166E-01,1.4612707E-12
1.2990000E-05,1.5343914E-01,1.2585255E-12
1.4300000E-05,1.2816384E-01,1.3862737E-12
1.6700000E-05,9.5930067E-02,2.8817411E-12
2.0000000E-05,6.6763852E-02,2.4838106E-12
2.2200000E-05,5.4268179E-02,2.2930557E-12
2.5000000E-05,4.2838289E-02,1.7999462E-12
