Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.9888907E-11,9.3338741E-15,1.9898241E-11
2.5000000E-06,1.1220167E-11,5.1834843E-15,1.1225351E-11
3.4540001E-06,5.2580977E-12,9.2418035E-15,5.2673395E-12
4.3969999E-06,2.5951571E-12,1.4786733E-14,2.6099438E-12
5.3499998E-06,1.3577254E-12,2.2700188E-14,1.3804256E-12
6.2500003E-06,7.4928055E-13,3.3752462E-14,7.8303301E-13
7.3050000E-06,3.5110770E-13,5.4084263E-14,4.0519196E-13
8.3470000E-06,1.3903899E-13,8.9281031E-14,2.2832002E-13
9.3899999E-06,3.1315228E-14,1.6038422E-13,1.9169945E-13
1.0280000E-05,1.2711075E-15,3.0483047E-13,3.0610158E-13
1.1250000E-05,7.8738870E-14,9.0002331E-13,9.7876217E-13
1.2020000E-05,4.1187178E-13,3.6689346E-12,4.0808064E-12
1.2560000E-05,6.1472344E-13,5.8855327E-12,6.5002561E-12
1.3020000E-05,1.1209730E-12,8.8605214E-12,9.9814944E-12
1.3440000E-05,1.5468126E-12,1.1521644E-11,1.3068457E-11
1.3970000E-05,9.5141735E-13,8.7197253E-12,9.6711427E-12
1.4350000E-05,1.0450574E-12,9.0024519E-12,1.0047509E-11
1.4520000E-05,1.1600181E-12,8.9729613E-12,1.0132979E-11
1.4680000E-05,1.1744824E-12,7.9309779E-12,9.1054603E-12
1.4810000E-05,1.0257607E-12,6.4476755E-12,7.4734362E-12
1.5010000E-05,7.0704123E-13,4.4275754E-12,5.1346166E-12
1.5150000E-05,5.2822379E-13,3.5400687E-12,4.0682925E-12
1.5340000E-05,3.5238860E-13,2.8150228E-12,3.1674114E-12
1.5500000E-05,2.4510282E-13,2.4910521E-12,2.7361549E-12
1.5870000E-05,1.0838027E-13,2.4611057E-12,2.5694860E-12
1.6370000E-05,1.3523765E-13,4.3602720E-12,4.4955096E-12
1.6610000E-05,3.1248971E-13,6.6016393E-12,6.9141290E-12
1.7070000E-05,4.6091714E-13,7.3088763E-12,7.7697935E-12
1.7210000E-05,4.5455020E-13,7.0175814E-12,7.4721316E-12
1.7330000E-05,3.8444006E-13,6.3490309E-12,6.7334709E-12
1.7450000E-05,3.4237327E-13,6.3535862E-12,6.6959594E-12
1.7670000E-05,4.1485050E-13,7.0837066E-12,7.4985570E-12
1.7990000E-05,5.0455132E-13,7.7517687E-12,8.2563200E-12
1.8480000E-05,8.1968958E-13,9.1218558E-12,9.9415454E-12
1.9010000E-05,9.2270911E-13,5.7559693E-12,6.6786784E-12
1.9420000E-05,6.1842985E-13,2.8764431E-12,3.4948730E-12
1.9680000E-05,4.8246479E-13,2.0310076E-12,2.5134724E-12
1.9920000E-05,3.9959324E-13,1.6244090E-12,2.0240023E-12
2.0200000E-05,3.3338787E-13,1.3566201E-12,1.6900079E-12
2.0530000E-05,2.8670542E-13,1.0974221E-12,1.3841275E-12
2.0880000E-05,2.4135405E-13,7.4007398E-13,9.8142803E-13
2.1190000E-05,2.0275588E-13,5.0017456E-13,7.0293044E-13
2.1650000E-05,1.6235949E-13,3.3939181E-13,5.0175130E-13
2.2030000E-05,1.3873803E-13,2.7712326E-13,4.1586129E-13
2.2570000E-05,1.1383641E-13,2.2125510E-13,3.3509151E-13
2.3420000E-05,8.6986031E-14,1.6738276E-13,2.5436880E-13
2.4210000E-05,6.9690658E-14,1.3513036E-13,2.0482102E-13
2.5000000E-05,5.6996897E-14,1.1290198E-13,1.6989888E-13
