# Amorphous Carbon according to Ashok.
#
# Wavelengths are in meters.
#
#Wavelength,Re(EPS),Im(EPS)
1.0000000e-07,1.5683097e+00,1.8744532e+00
1.5000000e-07,3.7955391e+00,1.5729585e+00
2.0000000e-07,2.7695161e+00,5.3086868e-03
2.5000000e-07,2.5437261e+00,5.2554546e-04
3.0000000e-07,2.4278250e+00,3.3578290e-05
3.5000000e-07,2.3716000e+00,3.0800000e-05
4.0000000e-07,2.3416340e+00,3.0604803e-05
4.5000000e-07,2.3319059e+00,3.0541161e-05
5.0000000e-07,2.3104000e+00,3.0400000e-05
5.5000000e-07,2.3104000e+00,3.0400000e-05
6.0000000e-07,2.3090710e+00,3.0391245e-05
6.5000000e-07,2.2991470e+00,3.0325895e-05
7.0000000e-07,2.2897616e+00,3.0263899e-05
7.5000000e-07,2.2801593e+00,3.0200373e-05
8.0000000e-07,2.2801000e+00,6.5354887e-05
8.5000000e-07,2.2801000e+00,1.0152197e-04
9.0000000e-07,2.2801000e+00,1.3722221e-04
9.5000000e-07,2.2789059e+00,2.0424019e-04
1.0000000e-06,2.2770519e+00,2.8846141e-04
1.0500000e-06,2.2751650e+00,3.7259863e-04
1.1000000e-06,2.2733119e+00,4.5666621e-04
1.1500000e-06,2.2714250e+00,5.4066202e-04
1.2000000e-06,2.2695521e+00,6.2459321e-04
1.2500000e-06,2.2676854e+00,7.0845135e-04
1.3000000e-06,2.2658089e+00,7.9224154e-04
1.3500000e-06,2.2639550e+00,8.7596469e-04
1.4000000e-06,2.2620805e+00,9.5961442e-04
1.4500000e-06,2.2602239e+00,1.0431948e-03
1.5000000e-06,2.2583500e+00,1.1267134e-03
1.5500000e-06,2.2564943e+00,1.2101577e-03
1.6000000e-06,2.2546200e+00,1.2935307e-03
1.6500000e-06,2.2527442e+00,1.3768314e-03
1.7000000e-06,2.2508822e+00,1.4572058e-03
1.7500000e-06,2.2500000e+00,1.2355982e-03
1.8000000e-06,2.2500000e+00,1.2153950e-03
1.8500000e-06,2.2500000e+00,1.1429249e-03
1.9000000e-06,2.2500000e+00,1.1100000e-03
