# Astronomical Silicates according to Draine.
#
# Wavelengths are in meters.
#
#Wavelength,Re(EPS),Im(EPS)
1.0000000e-07,1.6899252e+00,2.9554728e+00
1.5000000e-07,4.8226048e+00,2.3927328e+00
2.0000000e-07,3.7027990e+00,2.0466600e-01
2.5000000e-07,3.2500400e+00,9.9994380e-02
3.0000000e-07,3.1038352e+00,1.0022256e-01
3.5000000e-07,3.0378469e+00,1.0039906e-01
4.0000000e-07,2.9989807e+00,1.0059456e-01
4.5000000e-07,2.9783268e+00,1.0062117e-01
5.0000000e-07,2.9642848e+00,1.0073441e-01
5.5000000e-07,2.9540990e+00,1.0093968e-01
6.0000000e-07,2.9484256e+00,1.0120464e-01
6.5000000e-07,2.9442925e+00,1.0148434e-01
7.0000000e-07,2.9403447e+00,1.0176810e-01
7.5000000e-07,2.9379126e+00,1.0210314e-01
8.0000000e-07,2.9369026e+00,1.0246292e-01
8.5000000e-07,2.9367866e+00,1.0282273e-01
9.0000000e-07,2.9368900e+00,1.0318280e-01
9.5000000e-07,2.9368756e+00,1.0353395e-01
1.0000000e-06,2.9368785e+00,1.0383412e-01
1.0500000e-06,2.9369603e+00,1.0409397e-01
1.1000000e-06,2.9370473e+00,1.0435525e-01
1.1500000e-06,2.9370909e+00,1.0463746e-01
1.2000000e-06,2.9370420e+00,1.0496003e-01
1.2500000e-06,2.9368517e+00,1.0534244e-01
1.3000000e-06,2.9364814e+00,1.0579680e-01
1.3500000e-06,2.9359349e+00,1.0630602e-01
1.4000000e-06,2.9352261e+00,1.0684572e-01
1.4500000e-06,2.9343684e+00,1.0739149e-01
1.5000000e-06,2.9333768e+00,1.0791900e-01
1.5500000e-06,2.9322714e+00,1.0841181e-01
1.6000000e-06,2.9311019e+00,1.0888525e-01
1.6500000e-06,2.9299238e+00,1.0936256e-01
1.7000000e-06,2.9287839e+00,1.0986283e-01
1.7500000e-06,2.9276923e+00,1.1038853e-01
1.8000000e-06,2.9266508e+00,1.1093794e-01
1.8500000e-06,2.9256595e+00,1.1150937e-01
1.9000000e-06,2.9247204e+00,1.1210112e-01
1.9500000e-06,2.9238340e+00,1.1271149e-01
2.0000000e-06,2.9230017e+00,1.1333880e-01
2.0500000e-06,2.9222137e+00,1.1398065e-01
2.1000000e-06,2.9214159e+00,1.1463185e-01
2.1500000e-06,2.9205432e+00,1.1528647e-01
2.2000000e-06,2.9195304e+00,1.1593856e-01
2.2500000e-06,2.9183254e+00,1.1658342e-01
2.3000000e-06,2.9169241e+00,1.1722143e-01
2.3500000e-06,2.9153366e+00,1.1785425e-01
2.4000000e-06,2.9135712e+00,1.1848354e-01
2.4500000e-06,2.9116369e+00,1.1911094e-01
2.5000000e-06,2.9095431e+00,1.1973814e-01
2.5500000e-06,2.9072990e+00,1.2036680e-01
2.6000000e-06,2.9049131e+00,1.2099857e-01
2.6500000e-06,2.9023950e+00,1.2163514e-01
2.7000000e-06,2.8997537e+00,1.2227816e-01
2.7500000e-06,2.8969978e+00,1.2292929e-01
2.8000000e-06,2.8941367e+00,1.2359022e-01
2.8500000e-06,2.8911792e+00,1.2426260e-01
2.9000000e-06,2.8881345e+00,1.2494811e-01
2.9500000e-06,2.8850117e+00,1.2564841e-01
3.0000000e-06,2.8818194e+00,1.2636516e-01
3.0500000e-06,2.8785662e+00,1.2709867e-01
3.1000000e-06,2.8752582e+00,1.2784374e-01
3.1500000e-06,2.8719008e+00,1.2859383e-01
3.2000000e-06,2.8685002e+00,1.2934242e-01
3.2500000e-06,2.8650610e+00,1.3008298e-01
3.3000000e-06,2.8615895e+00,1.3080905e-01
3.3500000e-06,2.8580907e+00,1.3151414e-01
3.4000000e-06,2.8545704e+00,1.3219180e-01
3.4500000e-06,2.8510310e+00,1.3283664e-01
3.5000000e-06,2.8474623e+00,1.3344742e-01
3.5500000e-06,2.8438513e+00,1.3402392e-01
3.6000000e-06,2.8401847e+00,1.3456592e-01
3.6500000e-06,2.8364496e+00,1.3507321e-01
3.7000000e-06,2.8326328e+00,1.3554557e-01
